code1,code2,route,destination
1809500,1809503,879,proper
1809489,,879,proper
1809486,1809487,879,proper
1809484,1809485,879,proper
1809482,1809483,879,proper
1809480,,879,proper
1809476,,879,proper
1809471,1809474,879,proper
1809455,1809469,879,proper
1809433,1809435,879,proper
1809422,,879,proper
1809414,,879,proper
1809412,,879,proper
1809400,1809411,879,proper
1809384,1809385,879,proper
1809378,1809382,879,proper
1809375,,879,proper
1809373,,879,proper
1809368,1809369,879,proper
1809367,,879,proper
1809365,,879,proper
1809362,1809364,879,proper
1809349,,879,proper
1809346,1809347,879,proper
1809331,1809339,879,proper
1809328,1809329,879,proper
1809312,1809314,879,proper
1809311,,879,proper
1809300,,879,proper
1809294,1809296,879,proper
180927,,879,proper
1809261,1809263,879,proper
1809255,,879,proper
1809240,1809247,879,proper
1809236,1809239,879,proper
1809233,1809234,879,proper
1809231,,879,proper
1809227,,879,proper
1809226,,879,proper
1809220,1809221,879,proper
1809214,1809219,879,proper
1809213,,879,proper
1809210,1809212,879,proper
1809205,1809207,879,proper
1809000,1809203,879,proper
1809971,,879,proper
1809976,,879,proper
1809983,1809984,879,proper
1809985,1809999,879,proper
1809909,1809911,879,proper
1809891,1809907,879,proper
1809887,,879,proper
1809870,1809872,879,proper
1809859,,879,proper
1809833,,879,proper
1809827,1809828,879,proper
1809823,1809826,879,proper
1809822,,879,proper
1809820,1809821,879,proper
1809819,,879,proper
1809811,1809814,879,proper
1809809,,879,proper
1809792,1809795,879,proper
1809789,1809791,879,proper
1869000,1869661,886,proper
1869663,1869999,886,proper
1758000,1758283,887,proper
1758288,1758383,887,proper
1758385,1758459,887,proper
1758462,1758480,887,proper
1758490,1758583,887,proper
1758585,1758637,887,proper
1758639,1758713,887,proper
1758720,1758757,887,proper
1758759,1758783,887,proper
1758786,1758931,887,proper
1758933,1758999,887,proper
1907,,869,Alaska
1664414,1664491,884,proper
1664493,1664663,884,proper
1664665,1664723,884,proper
1664725,1664999,884,proper
166400,166440,884,proper
1649000,1649230,890,proper
1649233,1649240,890,proper
1649244,1649248,890,proper
1649250,1649443,890,proper
1649447,1649723,890,proper
1649725,1649999,890,proper
186800,186861,889,proper
186869,186873,889,proper
1868679,,889,proper
1868621,1868677,889,proper
18688,18689,889,proper
1868746,1868749,889,proper
1345000,1345915,877,proper
1345918,1345924,877,proper
1345930,1345947,877,proper
1345949,1345999,877,proper
1767000,1767224,878,proper
1767226,1767234,878,proper
1767236,1767244,878,proper
1767246,1767264,878,proper
1767266,1767274,878,proper
1767278,1767446,878,proper
1767448,1767999,878,proper
1456,,869,"special service"
1784594,1784783,888,proper
1784532,1784592,888,proper
1784494,1784525,888,proper
1784491,,888,proper
1784456,1784489,888,proper
1784439,1784453,888,proper
1784387,1784437,888,proper
1784267,1784385,888,proper
1784000,1784265,888,proper
1784785,1784999,888,proper
67238,67239,67,proper
67230,67233,67,proper
67212,,67,proper
67211,,67,proper
67210,,67,proper
67213,67219,67,proper
549,,71,mobile
543547,,71,mobile
543543,,71,mobile
543541,,71,mobile
54351,,71,mobile
5411,,71,proper
3749,,85,mobile
37472,37473,85,mobile
37474,37489,85,proper
3740,,85,proper
3741,3741,85,proper
37420,37471,85,proper
29756,,88,mobile
29759,,88,mobile
29773,29774,88,mobile
29796,,88,mobile
297990,,88,mobile
297992,297999,88,mobile
297000,297126,88,proper
297128,297559,88,proper
29757,29758,88,proper
29760,29772,88,proper
29775,29779,88,proper
297801,297899,88,proper
297901,297959,88,proper
29797,29798,88,proper
297991,,88,proper
247,,90,proper
615,,91,mobile
614,,91,proper
611,,91,mobile
6128,6129,91,proper
617,,91,proper
619,,91,proper
616,,91,proper
43676,,94,mobile
43664,,94,mobile
43650,,94,mobile
43660,,94,mobile
43678,,94,mobile
43680,,94,mobile
43699,,94,mobile
43805,43899,94,proper
4394,4399,94,proper
430,,94,proper
431,,94,proper
4320,4364,94,proper
43651,43659,94,proper
43661,43663,94,proper
43665,43675,94,proper
43677,,94,proper
43679,,94,proper
43681,43698,94,proper
4370,,94,proper
43712,43719,94,proper
43721,43729,94,proper
43741,43799,94,proper
43731,43739,94,proper
99450,,104,mobile
99455,,104,mobile
99456,99499,104,proper
99451,99454,104,proper
9940,9944,104,proper
97336,97339,106,mobile
97386,,106,mobile
973902,973909,106,mobile
973912,973929,106,mobile
973933,,106,mobile
973940,973947,106,mobile
973952,973955,106,mobile
973957,973989,106,mobile
97399,,106,proper
97300,97330,106,proper
97333,97335,106,proper
9734,9737,106,proper
97381,97385,106,proper
97387,97389,106,proper
973910,973911,106,proper
88011,,108,mobile
88017,,108,mobile
88018,88019,108,mobile
88031,,108,proper
880821,,108,proper
880822,880999,108,proper
88000,88010,108,proper
88012,88016,108,proper
8802,,108,proper
88030,,108,proper
880320,880820,108,proper
37529,,115,mobile
3753,3759,115,proper
375000,375171,115,proper
375172,,115,proper
375173,375174,115,proper
375175,,115,proper
375176,375289,115,proper
32494,32499,118,mobile
32484,32486,118,mobile
32472,,118,mobile
32801,32899,118,proper
3291,3299,118,proper
320,321,118,proper
322,,118,proper
32300,32451,118,proper
32455,32457,118,proper
32460,32471,118,proper
32480,32483,118,proper
32487,32493,118,proper
325,326,118,proper
3271,,118,proper
3278,3279,118,proper
501600,501616,124,mobile
501618,501699,124,mobile
5017,5019,124,proper
5010,5015,124,proper
22920,,126,mobile
22923,,126,mobile
22928,22929,126,mobile
22939,22940,126,mobile
22942,,126,mobile
22944,22949,126,mobile
22959,22960,126,mobile
22964,,126,mobile
22968,22970,126,mobile
22985,22998,126,mobile
2290,,126,mobile
22921,22922,126,proper
22924,22927,126,proper
22930,22938,126,proper
22941,,126,proper
22943,,126,proper
22950,22958,126,proper
22961,22963,126,proper
22965,22967,126,proper
22971,22984,126,proper
22999,,126,proper
2291,,126,proper
97517,,128,mobile
97593,97599,128,mobile
97518,97592,128,proper
97500,97516,128,proper
5917,,130,mobile
5918,,130,proper
5916,,130,proper
5915,,130,proper
5914,,130,proper
5913,,130,proper
5911,,130,proper
5912,,130,proper
5910,,130,proper
59144,,130,proper
59133,,130,proper
59122,,130,proper
38762,,135,mobile
38761,,135,mobile
38733,,135,proper
26771,26772,138,mobile
267801,267999,138,proper
26773,26779,138,proper
26716,26770,138,proper
26700,26714,138,proper
551177,551178,140,mobile
551181,,140,mobile
55119,,140,mobile
551278,,140,mobile
551281,,140,mobile
55129,,140,mobile
551378,,140,mobile
551381,,140,mobile
55139,,140,mobile
551481,,140,mobile
55149,,140,mobile
551581,,140,mobile
55159,,140,mobile
551681,,140,mobile
55169,,140,mobile
551781,,140,mobile
55179,,140,mobile
551881,,140,mobile
55189,,140,mobile
551978,,140,mobile
551981,,140,mobile
55199,,140,mobile
552178,,140,mobile
552181,,140,mobile
552188,552199,140,mobile
552281,,140,mobile
552288,552299,140,mobile
552481,,140,mobile
552488,552499,140,mobile
552781,,140,mobile
552788,552799,140,mobile
552888,,140,mobile
55289,,140,mobile
553178,,140,mobile
553188,,140,mobile
55319,55319,140,mobile
553288,,140,mobile
55329,,140,mobile
553388,,140,mobile
55339,,140,mobile
553488,,140,mobile
55349,,140,mobile
553588,,140,mobile
55359,,140,mobile
553788,,140,mobile
55379,,140,mobile
553888,,140,mobile
55389,,140,mobile
554178,,140,mobile
55419,,140,mobile
55429,,140,mobile
55439,,140,mobile
55449,,140,mobile
55459,,140,mobile
55469,,140,mobile
55479,,140,mobile
55489,,140,mobile
55499,,140,mobile
555178,,140,mobile
555181,,140,mobile
555189,555199,140,mobile
555381,,140,mobile
555389,555399,140,mobile
555481,,140,mobile
555489,555499,140,mobile
555581,,140,mobile
555589,555599,140,mobile
556178,,140,mobile
556181,,140,mobile
556189,556199,140,mobile
556281,,140,mobile
556289,556299,140,mobile
556381,,140,mobile
556389,556399,140,mobile
556481,,140,mobile
556489,556499,140,mobile
556581,,140,mobile
556599,,140,mobile
556681,,140,mobile
556699,,140,mobile
556781,,140,mobile
556799,,140,mobile
556881,,140,mobile
556899,,140,mobile
556981,,140,mobile
556999,,140,mobile
557188,,140,mobile
55719,,140,mobile
557388,,140,mobile
55739,,140,mobile
557488,,140,mobile
55749,,140,mobile
557588,,140,mobile
55759,,140,mobile
557788,,140,mobile
55779,,140,mobile
55789,,140,mobile
557988,,140,mobile
55799,,140,mobile
558188,,140,mobile
55819,,140,mobile
558288,,140,mobile
55829,,140,mobile
558388,,140,mobile
55839,,140,mobile
558488,,140,mobile
55849,,140,mobile
558588,,140,mobile
55859,,140,mobile
558688,,140,mobile
55869,,140,mobile
558788,,140,mobile
55879,,140,mobile
558888,,140,mobile
55889,,140,mobile
558988,,140,mobile
55899,,140,mobile
559181,,140,mobile
559188,559199,140,mobile
559281,,140,mobile
559288,559299,140,mobile
559381,,140,mobile
559388,559399,140,mobile
559481,,140,mobile
559488,559499,140,mobile
559581,,140,mobile
559588,559599,140,mobile
559681,,140,mobile
559688,559699,140,mobile
559788,,140,mobile
55979,,140,mobile
559881,,140,mobile
559888,559899,140,mobile
559981,,140,mobile
559988,559999,140,mobile
554179,554189,140,proper
554100,554177,140,proper
552782,552787,140,proper
552700,552780,140,proper
551282,551289,140,proper
551279,551280,140,proper
551200,551277,140,proper
551882,551889,140,proper
551800,551880,140,proper
551782,551789,140,proper
551700,551780,140,proper
551682,551689,140,proper
551600,551680,140,proper
551582,551589,140,proper
551500,551580,140,proper
551482,551489,140,proper
551400,551480,140,proper
551382,551389,140,proper
551379,551380,140,proper
551300,551377,140,proper
556182,556188,140,proper
556179,556180,140,proper
556100,556177,140,proper
551982,551989,140,proper
551979,551980,140,proper
551900,551977,140,proper
551182,551189,140,proper
551179,551180,140,proper
551100,551176,140,proper
559682,559687,140,proper
559600,559680,140,proper
559582,559587,140,proper
559500,559580,140,proper
559482,559487,140,proper
559400,559480,140,proper
559382,559387,140,proper
559300,559380,140,proper
559282,559287,140,proper
559200,559280,140,proper
559182,559187,140,proper
559000,559180,140,proper
558989,558989,140,proper
558900,558987,140,proper
558889,558889,140,proper
558800,558887,140,proper
558789,558789,140,proper
558700,558787,140,proper
558689,558689,140,proper
558600,558687,140,proper
558589,558589,140,proper
558500,558587,140,proper
558489,558489,140,proper
558400,558487,140,proper
558389,558389,140,proper
558300,558387,140,proper
558289,558289,140,proper
558200,558287,140,proper
558189,558189,140,proper
558000,558187,140,proper
557989,557989,140,proper
557900,557987,140,proper
55780,55788,140,proper
557789,557789,140,proper
